candidate_index,local_index,fresh_negative,fresh_positive,fresh_p_positive,previous_negative,previous_positive,previous_p_positive,shots,repeats,trials,logical_failures,target_logical_errors,stopped_early,logical_failure_rate,converged,convergence_rate,mean_iterations,source_csv,source_shard
116,11,-0.1,0.85,0.97,-0.25,0.25,0.75,50000,1,278.0,10.0,10,True,0.0359712230215827,268,0.9640287769784172,337.6007194244604,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_6/grid_results.csv,6
699,69,0.0,1.0,0.97,0.0,0.25,0.25,50000,1,220.0,10.0,10,True,0.0454545454545454,210,0.9545454545454546,306.7,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_9/grid_results.csv,9
455,45,-0.02,1.0,0.97,0.0,0.1,0.75,50000,1,220.0,10.0,10,True,0.0454545454545454,209,0.95,326.17727272727274,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_5/grid_results.csv,5
645,64,0.0,0.85,0.995,0.0,0.25,0.25,50000,1,202.0,10.0,10,True,0.0495049504950495,191,0.9455445544554456,292.51485148514854,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_5/grid_results.csv,5
232,23,-0.1,1.0,0.995,-0.1,0.25,0.5,50000,1,202.0,10.0,10,True,0.0495049504950495,191,0.9455445544554456,303.5,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_2/grid_results.csv,2
457,45,-0.02,1.0,0.97,0.0,0.25,0.5,50000,1,202.0,10.0,10,True,0.0495049504950495,192,0.9504950495049505,317.05940594059405,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_7/grid_results.csv,7
71,7,-0.1,0.7,0.995,-0.1,0.25,0.75,50000,1,202.0,10.0,10,True,0.0495049504950495,191,0.9455445544554456,322.5495049504951,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_1/grid_results.csv,1
637,63,0.0,0.85,0.995,-0.1,0.25,0.5,50000,1,202.0,10.0,10,True,0.0495049504950495,192,0.9504950495049505,323.480198019802,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_7/grid_results.csv,7
159,15,-0.1,0.85,0.995,0.0,0.25,0.25,50000,1,202.0,10.0,10,True,0.0495049504950495,192,0.9504950495049505,328.9306930693069,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_9/grid_results.csv,9
314,31,-0.02,0.7,0.995,-0.1,0.25,0.75,50000,1,202.0,10.0,10,True,0.0495049504950495,192,0.9504950495049505,341.7277227722772,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_4/grid_results.csv,4
698,69,0.0,1.0,0.97,0.0,0.1,0.75,50000,1,202.0,10.0,10,True,0.0495049504950495,190,0.9405940594059404,365.5495049504951,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_8/grid_results.csv,8
133,13,-0.1,0.85,0.97,0.0,0.25,0.5,50000,1,202.0,10.0,10,True,0.0495049504950495,192,0.9504950495049505,376.8217821782178,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_3/grid_results.csv,3
375,37,-0.02,0.85,0.97,0.0,0.25,0.25,50000,1,202.0,10.0,10,True,0.0495049504950495,192,0.9504950495049505,385.8019801980198,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_5/grid_results.csv,5
132,13,-0.1,0.85,0.97,0.0,0.25,0.25,50000,1,202.0,10.0,10,True,0.0495049504950495,191,0.9455445544554456,466.1534653465346,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_2/grid_results.csv,2
716,71,0.0,1.0,0.995,-0.1,0.1,0.75,50000,1,190.0,10.0,10,True,0.0526315789473684,178,0.936842105263158,330.66315789473686,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_6/grid_results.csv,6
296,29,-0.02,0.7,0.97,0.0,0.25,0.75,50000,1,190.0,10.0,10,True,0.0526315789473684,180,0.9473684210526316,377.16315789473686,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_6/grid_results.csv,6
