parameter,from_value,to_value,candidate_index_left,candidate_index_right,logical_failure_left,logical_failure_right,logical_failure_delta,abs_logical_failure_delta,convergence_left,convergence_right,convergence_delta,abs_convergence_delta,mean_iterations_left,mean_iterations_right,fixed_fresh_negative,fixed_fresh_p_positive,fixed_previous_negative,fixed_previous_positive,fixed_previous_p_positive,fixed_fresh_positive
fresh_positive,0.7,0.85,4,85,0.9090909090909092,0.5263157894736842,-0.382775119617225,0.382775119617225,0.0909090909090909,0.4736842105263157,0.3827751196172248,0.3827751196172248,3523.090909090909,2598.684210526316,-0.1,0.9,-0.25,0.1,0.5,
fresh_positive,0.7,0.85,261,342,0.7142857142857143,0.3333333333333333,-0.380952380952381,0.380952380952381,0.2857142857142857,0.6666666666666666,0.38095238095238093,0.38095238095238093,2917.214285714286,1736.2,-0.02,0.9,0.0,0.0,0.25,
fresh_p_positive,0.9,0.97,24,51,0.5882352941176471,0.2083333333333333,-0.3799019607843138,0.3799019607843138,0.2941176470588235,0.7916666666666666,0.49754901960784315,0.49754901960784315,2954.470588235294,1136.3541666666667,-0.1,,0.0,0.25,0.25,0.7
previous_negative,-0.25,-0.1,702,711,0.5882352941176471,0.2083333333333333,-0.3799019607843138,0.3799019607843138,0.4117647058823529,0.7916666666666666,0.3799019607843137,0.3799019607843137,2379.3529411764707,909.0208333333334,0.0,0.995,,0.0,0.25,1.0
fresh_positive,0.7,0.85,497,578,0.625,0.25,-0.375,0.375,0.25,0.75,0.5,0.5,3053.125,1365.8,0.0,0.9,-0.1,0.0,0.75,
fresh_p_positive,0.9,0.97,87,114,0.625,0.25,-0.375,0.375,0.3125,0.75,0.4375,0.4375,2722.3125,1362.975,-0.1,,-0.25,0.25,0.25,0.85
fresh_positive,0.7,0.85,541,622,0.625,0.25,-0.375,0.375,0.3125,0.75,0.4375,0.4375,2755.875,1281.525,0.0,0.995,-0.25,0.0,0.5,
previous_negative,-0.25,-0.1,570,579,0.625,0.25,-0.375,0.375,0.375,0.75,0.375,0.375,2562.5625,1423.85,0.0,0.9,,0.1,0.25,0.85
fresh_positive,0.7,0.85,254,335,0.625,0.25,-0.375,0.375,0.375,0.75,0.375,0.375,2630.0,1622.05,-0.02,0.9,-0.1,0.0,0.75,
fresh_positive,0.7,0.85,263,344,0.625,0.25,-0.375,0.375,0.375,0.75,0.375,0.375,2877.125,1300.725,-0.02,0.9,0.0,0.0,0.75,
fresh_positive,0.7,0.85,1,82,1.0,0.625,-0.375,0.375,0.0,0.375,0.375,0.375,3680.0,3142.4375,-0.1,0.9,-0.25,0.0,0.5,
fresh_positive,0.7,0.85,249,330,1.0,0.625,-0.375,0.375,0.0,0.375,0.375,0.375,3680.0,2671.625,-0.02,0.9,-0.25,0.25,0.25,
fresh_p_positive,0.9,0.97,249,276,1.0,0.625,-0.375,0.375,0.0,0.375,0.375,0.375,3680.0,3079.8125,-0.02,,-0.25,0.25,0.25,0.7
fresh_positive,0.7,0.85,6,87,1.0,0.625,-0.375,0.375,0.0,0.3125,0.3125,0.3125,3680.0,2722.3125,-0.1,0.9,-0.25,0.25,0.25,
fresh_p_positive,0.9,0.97,244,271,1.0,0.625,-0.375,0.375,0.0,0.3125,0.3125,0.3125,3680.0,2955.0,-0.02,,-0.25,0.0,0.5,0.7
fresh_positive,0.7,0.85,271,352,0.625,0.2631578947368421,-0.3618421052631579,0.3618421052631579,0.3125,0.7105263157894737,0.3980263157894737,0.3980263157894737,2955.0,1469.2105263157894,-0.02,0.97,-0.25,0.0,0.5,
fresh_p_positive,0.9,0.97,22,49,0.5555555555555556,0.196078431372549,-0.3594771241830066,0.3594771241830066,0.3888888888888889,0.7843137254901961,0.3954248366013072,0.3954248366013072,2896.6666666666665,1189.3333333333333,-0.1,,0.0,0.1,0.5,0.7
fresh_positive,0.7,0.85,272,353,0.5555555555555556,0.196078431372549,-0.3594771241830066,0.3594771241830066,0.4444444444444444,0.803921568627451,0.3594771241830066,0.3594771241830066,2407.6111111111118,1074.6666666666667,-0.02,0.97,-0.25,0.0,0.75,
fresh_negative,-0.1,-0.02,5,248,0.8333333333333334,0.4761904761904761,-0.35714285714285726,0.35714285714285726,0.1666666666666666,0.5238095238095238,0.3571428571428572,0.3571428571428572,3116.25,2340.2380952380954,,0.9,-0.25,0.1,0.75,0.7
fresh_positive,0.7,0.85,54,135,0.8333333333333334,0.4761904761904761,-0.35714285714285726,0.35714285714285726,0.1666666666666666,0.5238095238095238,0.3571428571428572,0.3571428571428572,3135.5,2130.714285714286,-0.1,0.995,-0.25,0.0,0.25,
fresh_positive,0.7,0.85,247,328,0.8333333333333334,0.4761904761904761,-0.35714285714285726,0.35714285714285726,0.1666666666666666,0.5238095238095238,0.3571428571428572,0.3571428571428572,3245.25,2230.714285714286,-0.02,0.9,-0.25,0.1,0.5,
previous_p_positive,0.5,0.75,247,248,0.8333333333333334,0.4761904761904761,-0.35714285714285726,0.35714285714285726,0.1666666666666666,0.5238095238095238,0.3571428571428572,0.3571428571428572,3245.25,2340.2380952380954,-0.02,0.9,-0.25,0.1,,0.7
previous_p_positive,0.25,0.5,30,31,0.8333333333333334,0.4761904761904761,-0.35714285714285726,0.35714285714285726,0.1666666666666666,0.5238095238095238,0.3571428571428572,0.3571428571428572,3372.0,2171.0476190476197,-0.1,0.97,-0.25,0.1,,0.7
previous_negative,-0.1,0.0,255,264,0.8333333333333334,0.4761904761904761,-0.35714285714285726,0.35714285714285726,0.0833333333333333,0.4285714285714285,0.3452380952380952,0.3452380952380952,3620.75,2451.285714285714,-0.02,0.9,,0.1,0.25,0.7
fresh_positive,0.7,0.85,299,380,0.5555555555555556,0.2,-0.35555555555555557,0.35555555555555557,0.4444444444444444,0.8,0.3555555555555556,0.3555555555555556,2192.6111111111118,938.06,-0.02,0.995,-0.25,0.0,0.75,
fresh_positive,0.7,0.85,515,596,0.5555555555555556,0.2,-0.35555555555555557,0.35555555555555557,0.4444444444444444,0.8,0.3555555555555556,0.3555555555555556,2193.5,1018.88,0.0,0.97,-0.25,0.0,0.75,
previous_positive,0.0,0.1,299,302,0.5555555555555556,0.2,-0.35555555555555557,0.35555555555555557,0.4444444444444444,0.78,0.3355555555555556,0.3355555555555556,2192.6111111111118,1341.88,-0.02,0.995,-0.25,,0.75,0.7
fresh_p_positive,0.9,0.97,10,37,0.9090909090909092,0.5555555555555556,-0.3535353535353536,0.3535353535353536,0.0909090909090909,0.4444444444444444,0.35353535353535354,0.35353535353535354,3345.909090909091,2420.9444444444443,-0.1,,-0.1,0.0,0.5,0.7
fresh_p_positive,0.9,0.97,245,272,0.9090909090909092,0.5555555555555556,-0.3535353535353536,0.3535353535353536,0.0909090909090909,0.4444444444444444,0.35353535353535354,0.35353535353535354,3353.6363636363635,2407.6111111111118,-0.02,,-0.25,0.0,0.75,0.7
fresh_p_positive,0.9,0.97,9,36,0.9090909090909092,0.5555555555555556,-0.3535353535353536,0.3535353535353536,0.0909090909090909,0.4444444444444444,0.35353535353535354,0.35353535353535354,3364.3636363636365,2614.1111111111118,-0.1,,-0.1,0.0,0.25,0.7
fresh_positive,0.7,0.85,27,108,0.9090909090909092,0.5555555555555556,-0.3535353535353536,0.3535353535353536,0.0909090909090909,0.4444444444444444,0.35353535353535354,0.35353535353535354,3369.7272727272725,2233.777777777778,-0.1,0.97,-0.25,0.0,0.25,
