decoder,point_id,width_idx,center_idx,center,width,interval_low,interval_high,relay_seed,circuit,memory,p,basis_filter_applied,shots,logical_error_count,seconds,logical_error_rate,logical_success_rate,stderr,relative_error,hit_target,shot_cap_reached,raw_interval_low,raw_interval_high,effective_center,effective_width,interval_clipped
relay-bp-paper-damping-c0p700-w0p600,40,3,7,0.7000000000000001,0.6000000000000001,0.4,1.0,40000120,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,2489,9,385.68899999999996,0.0036159100040176776,0.9963840899959823,0.0012031222270218794,0.3327301358952731,True,False,0.4,1.0,0.7,0.6,False
relay-bp-paper-damping-c0p800-w0p600,41,3,8,0.8,0.6000000000000001,0.5,1.0,41000123,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1892,16,390.731,0.008456659619450317,0.9915433403805497,0.002105206538697968,0.2489406732010347,True,False,0.5,1.1,0.75,0.5,True
relay-bp-paper-damping-c0p900-w0p600,42,3,9,0.9,0.6000000000000001,0.6,1.0,42000126,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1540,13,393.086,0.008441558441558441,0.9915584415584415,0.0023313641473236436,0.27617698360603166,True,False,0.6,1.2000000000000002,0.8,0.4,True
relay-bp-paper-damping-c1p000-w0p600,43,3,10,1.0,0.6000000000000001,0.7,1.0,43000129,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1793,11,362.70799999999986,0.006134969325153374,0.9938650306748467,0.0018440800015632548,0.30058504025481053,True,False,0.7,1.3,0.85,0.30000000000000004,True
relay-bp-paper-damping-c0p000-w0p800,44,4,0,0.0,0.8,0.0,0.4,44000132,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,296,2,68.795,0.006756756756756757,0.9932432432432432,0.004761580121450848,0.7047138579747255,True,False,-0.4,0.4,0.2,0.4,True
relay-bp-paper-damping-c0p100-w0p800,45,4,1,0.1,0.8,0.0,0.5,45000135,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1513,8,409.519,0.005287508261731659,0.9947124917382684,0.0018644676457879885,0.35261744350965335,True,False,-0.30000000000000004,0.5,0.25,0.5,True
relay-bp-paper-damping-c0p200-w0p800,46,4,2,0.2,0.8,0.0,0.6000000000000001,46000138,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1652,11,425.678,0.006658595641646489,0.9933414043583535,0.0020009469225849394,0.30050584691911997,True,False,-0.2,0.6000000000000001,0.30000000000000004,0.6000000000000001,True
relay-bp-paper-damping-c0p300-w0p800,47,4,3,0.30000000000000004,0.8,0.0,0.7000000000000001,47000141,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1936,14,448.782,0.007231404958677686,0.9927685950413223,0.0019256736157729694,0.2662931514383192,True,False,-0.09999999999999998,0.7000000000000001,0.35000000000000003,0.7000000000000001,True
relay-bp-paper-damping-c0p400-w0p800,48,4,4,0.4,0.8,0.0,0.8,48000144,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1860,8,400.25500000000005,0.004301075268817204,0.9956989247311828,0.0015173859845122397,0.35279224139909576,True,False,0.0,0.8,0.4,0.8,False
relay-bp-paper-damping-c0p500-w0p800,49,4,5,0.5,0.8,0.09999999999999998,0.9,49000147,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1576,12,393.44599999999997,0.007614213197969543,0.9923857868020305,0.0021896498797824623,0.28757401754476336,True,False,0.09999999999999998,0.9,0.5,0.8,False
relay-bp-paper-damping-c0p600-w0p800,50,4,6,0.6000000000000001,0.8,0.20000000000000007,1.0,50000150,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,2140,12,384.85999999999996,0.005607476635514018,0.994392523364486,0.0016141941714166853,0.28786462723597556,True,False,0.20000000000000007,1.0,0.6000000000000001,0.7999999999999999,False
relay-bp-paper-damping-c0p700-w0p800,51,4,7,0.7000000000000001,0.8,0.30000000000000004,1.0,51000153,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,679,6,89.435,0.008836524300441826,0.9911634756995582,0.0035915217090589087,0.4064405400751665,True,False,0.30000000000000004,1.1,0.65,0.7,True
relay-bp-paper-damping-c0p800-w0p800,52,4,8,0.8,0.8,0.4,1.0,52000156,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1530,11,345.346,0.00718954248366013,0.9928104575163399,0.0021599220759569984,0.3004255251103825,True,False,0.4,1.2000000000000002,0.7,0.6,True
relay-bp-paper-damping-c0p900-w0p800,53,4,9,0.9,0.8,0.5,1.0,53000159,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1737,13,351.05400000000003,0.007484168105929764,0.9925158318940702,0.0020679525964346275,0.27631028153899595,True,False,0.5,1.3,0.75,0.5,True
relay-bp-paper-damping-c1p000-w0p800,54,4,10,1.0,0.8,0.6,1.0,54000162,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1744,14,361.113,0.008027522935779817,0.9919724770642202,0.0021368170902346536,0.266186357526374,True,False,0.6,1.4,0.8,0.4,True
relay-bp-paper-damping-c0p000-w1p000,55,5,0,0.0,1.0,0.0,0.5,55000165,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1447,6,369.8910000000001,0.00414651002073255,0.9958534899792675,0.001689292363878108,0.40740100842193705,True,False,-0.5,0.5,0.25,0.5,True
relay-bp-paper-damping-c0p100-w1p000,56,5,1,0.1,1.0,0.0,0.6,56000168,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1272,12,407.47900000000004,0.009433962264150943,0.9905660377358491,0.0027104738933501353,0.28731023269511435,True,False,-0.4,0.6,0.3,0.6,True
relay-bp-paper-damping-c0p200-w1p000,57,5,2,0.2,1.0,0.0,0.7,57000171,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1825,11,416.08900000000017,0.006027397260273973,0.993972602739726,0.0018118434935799072,0.3006013068893937,True,False,-0.3,0.7,0.35,0.7,True
relay-bp-paper-damping-c0p300-w1p000,58,5,3,0.30000000000000004,1.0,0.0,0.8,58000174,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,2313,7,427.205,0.0030263726761781237,0.9969736273238219,0.0011421291667542699,0.377392108957518,True,False,-0.19999999999999996,0.8,0.4,0.8,True
relay-bp-paper-damping-c0p400-w1p000,59,5,4,0.4,1.0,0.0,0.9,59000177,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,2367,10,419.5429999999999,0.004224757076468103,0.9957752429235319,0.0013331603981818904,0.31555906624965346,True,False,-0.09999999999999998,0.9,0.45,0.9,True
